sortie_id,aircraft_id,type_id,battery_id,start_s,stop_sequence,stops,n_boxes,mass_kg,volume_m3,duration_s,return_s,return_soc_pct,recharge_s,energy_kwh
F01,U01,A,BA01,0.0,O01→S001→O01,S001(2箱),2,22.0,0.055,1266.57,1266.57,71.358,872.349,1.2889
F02,U02,A,BA02,0.0,O01→S001→O01,S001(2箱),2,22.0,0.055,1266.57,1266.57,71.358,872.349,1.2889
F03,U03,A,BA03,0.0,O01→S001→O01,S001(2箱),2,22.0,0.055,1266.57,1266.57,71.358,872.349,1.2889
F04,U05,B,BB01,0.0,O01→S010→O01,S010(3箱),3,25.0,0.067,1555.377,1555.377,54.42,1456.715,1.82319
F05,U06,B,BB02,0.0,O01→S012→O01,S012(3箱),3,25.0,0.067,1942.959,1942.959,30.988,1862.878,2.76049
F06,U07,C,BC01,0.0,O01→S001→O01,S001(7箱),7,76.0,0.159,1579.4,1579.4,63.421,1625.877,2.92632
F07,U08,C,BC02,0.0,O01→S002→O01,S002(6箱),6,67.0,0.148,2111.887,2111.887,21.468,2534.869,6.28259
F08,U05,B,BB03,1556.0,O01→S013→O01,S013(3箱),3,25.0,0.067,1510.47,3066.47,54.381,1457.393,1.82475
F09,U07,C,BC03,1580.0,O01→S007→S015→O01,S007(5箱); S015(3箱),8,70.0,0.196,2623.511,4203.511,32.653,2292.528,5.3878
F10,U06,B,BB04,1943.0,O01→S014→O01,S014(3箱),3,25.0,0.067,1869.752,3812.752,46.491,1594.163,2.14038
F11,U08,C,BC04,2112.0,O01→S006→O01,S006(6箱),6,59.0,0.156,1565.731,3677.731,67.503,1537.436,2.59976
F12,U05,B,BB01,3067.0,O01→S008→O01,S008(2箱),2,20.0,0.062,1902.101,4969.101,30.911,1864.213,2.76357
F13,U08,C,BC01,3678.0,O01→S005→O01,S005(6箱),6,59.0,0.156,1877.195,5555.195,47.222,1976.851,4.22222
F14,U06,B,BB02,3813.0,O01→S003→O01,S003(1箱),1,14.0,0.027,1981.222,5794.222,39.204,1720.468,2.43185
F15,U07,C,BC02,4647.0,O01→S003→O01,S003(7箱),7,67.0,0.184,2527.49,7174.49,20.81,2549.121,6.33522
F16,U05,B,BB03,4970.0,O01→S002→O01,S002(2箱),2,14.0,0.063,1760.014,6730.014,40.938,1690.415,2.3625
F17,U08,C,BC04,5556.0,O01→S004→O01,S004(6箱),6,59.0,0.156,2315.411,7871.411,23.013,2501.384,6.15896
F18,U06,B,BB04,5795.0,O01→S008→O01,S008(3箱),3,25.0,0.067,1962.101,7757.101,25.616,1955.984,2.97535
F19,U05,B,BB01,6834.0,O01→S011→O01,S011(3箱),3,25.0,0.067,1188.424,8022.424,73.151,1132.049,1.07396
F20,U06,B,BB02,7758.0,O01→S009→O01,S009(3箱),3,25.0,0.067,1558.442,9316.442,47.594,1575.035,2.09624
F21,U05,B,BB03,8421.0,O01→S001→O01,S001(2箱),2,12.0,0.07,1164.77,9585.77,75.109,1098.108,0.99563
