box_id,sortie_id,zone_id,deliver_s,deliver_offset_s,expected_s,hard_deadline_s,hard_slack_s,category,mass_kg,priority,soft_tardiness_s
S001-WAT-03,F01,S001,916.408,916.408,3600.0,,,饮用水,14.0,12.0,0.0
S001-FOD-03,F01,S001,916.408,916.408,7200.0,,,应急食品,8.0,10.0,0.0
S001-WAT-05,F02,S001,916.408,916.408,3600.0,,,饮用水,14.0,12.0,0.0
S001-FOD-02,F02,S001,916.408,916.408,7200.0,,,应急食品,8.0,10.0,0.0
S007-WAT-02,F03,S007,1146.718,1146.718,3600.0,,,饮用水,14.0,12.0,0.0
S007-FOD-01,F03,S007,1146.718,1146.718,7200.0,,,应急食品,8.0,10.0,0.0
S001-WAT-07,F04,S001,917.408,916.408,3600.0,,,饮用水,14.0,12.0,0.0
S001-FOD-01,F04,S001,917.408,916.408,7200.0,,,应急食品,8.0,10.0,0.0
S013-MED-01,F05,S013,1063.768,1062.768,3600.0,3600.0,2536.232,医疗物资,3.0,24.0,0.0
S013-WAT-01,F05,S013,1063.768,1062.768,3600.0,3600.0,2536.232,饮用水,14.0,12.0,0.0
S013-FOD-01,F05,S013,1063.768,1062.768,7200.0,,,应急食品,8.0,10.0,0.0
S014-MED-01,F06,S014,1243.433,1242.433,7200.0,3600.0,2356.567,医疗物资,3.0,22.0,0.0
S014-WAT-01,F06,S014,1243.433,1242.433,3600.0,3600.0,2356.567,饮用水,14.0,12.0,0.0
S014-FOD-01,F06,S014,1243.433,1242.433,7200.0,,,应急食品,8.0,10.0,0.0
S001-WAT-01,F07,S001,1324.885,1323.885,3600.0,3600.0,2275.115,饮用水,14.0,12.0,0.0
S001-MED-02,F07,S001,1324.885,1323.885,3600.0,3600.0,2275.115,医疗物资,3.0,24.0,0.0
S001-MED-01,F07,S001,1324.885,1323.885,3600.0,3600.0,2275.115,医疗物资,3.0,24.0,0.0
S001-HYG-02,F07,S001,1324.885,1323.885,10800.0,,,生活卫生用品,6.0,8.0,0.0
S001-HYG-01,F07,S001,1324.885,1323.885,10800.0,,,生活卫生用品,6.0,8.0,0.0
S001-WAT-08,F07,S001,1324.885,1323.885,3600.0,,,饮用水,14.0,12.0,0.0
S001-WAT-02,F07,S001,1324.885,1323.885,3600.0,,,饮用水,14.0,12.0,0.0
S001-WAT-04,F07,S001,1324.885,1323.885,3600.0,,,饮用水,14.0,12.0,0.0
S006-MED-01,F08,S006,1212.511,1211.511,3600.0,3600.0,2387.489,医疗物资,3.0,24.0,0.0
S006-WAT-01,F08,S006,1212.511,1211.511,3600.0,3600.0,2387.489,饮用水,14.0,12.0,0.0
S006-HYG-01,F08,S006,1212.511,1211.511,10800.0,,,生活卫生用品,6.0,8.0,0.0
S006-FOD-01,F08,S006,1212.511,1211.511,7200.0,,,应急食品,8.0,10.0,0.0
S006-WAT-03,F08,S006,1212.511,1211.511,3600.0,,,饮用水,14.0,12.0,0.0
S006-WAT-02,F08,S006,1212.511,1211.511,3600.0,,,饮用水,14.0,12.0,0.0
S002-WAT-02,F09,S002,2492.469,1225.469,3600.0,,,饮用水,14.0,12.0,0.0
S007-MED-01,F10,S007,2413.718,1146.718,3600.0,3600.0,1186.282,医疗物资,3.0,24.0,0.0
S007-WAT-01,F10,S007,2413.718,1146.718,3600.0,3600.0,1186.282,饮用水,14.0,12.0,0.0
S012-MED-01,F11,S012,2793.409,1281.409,7200.0,3600.0,806.591,医疗物资,3.0,22.0,0.0
S012-WAT-01,F11,S012,2793.409,1281.409,3600.0,3600.0,806.591,饮用水,14.0,12.0,0.0
S012-FOD-01,F11,S012,2793.409,1281.409,7200.0,,,应急食品,8.0,10.0,0.0
S003-MED-01,F12,S003,3225.205,1658.205,7200.0,7200.0,3974.795,医疗物资,3.0,20.0,0.0
S003-WAT-01,F12,S003,3225.205,1658.205,7200.0,7200.0,3974.795,饮用水,14.0,10.0,0.0
S003-WAT-02,F12,S003,3225.205,1658.205,7200.0,,,饮用水,14.0,10.0,0.0
S003-WAT-03,F12,S003,3225.205,1658.205,7200.0,,,饮用水,14.0,10.0,0.0
S003-WAT-04,F12,S003,3225.205,1658.205,7200.0,,,饮用水,14.0,10.0,0.0
S003-HYG-01,F12,S003,3225.205,1658.205,14400.0,,,生活卫生用品,6.0,6.0,0.0
S002-MED-01,F13,S002,3202.353,1555.353,3600.0,3600.0,397.647,医疗物资,3.0,24.0,0.0
S002-WAT-01,F13,S002,3202.353,1555.353,3600.0,3600.0,397.647,饮用水,14.0,12.0,0.0
S002-HYG-01,F13,S002,3202.353,1555.353,10800.0,,,生活卫生用品,6.0,8.0,0.0
S002-FOD-02,F13,S002,3202.353,1555.353,7200.0,,,应急食品,8.0,10.0,0.0
S002-FOD-01,F13,S002,3202.353,1555.353,7200.0,,,应急食品,8.0,10.0,0.0
S002-WAT-04,F13,S002,3202.353,1555.353,3600.0,,,饮用水,14.0,12.0,0.0
S002-WAT-03,F13,S002,3202.353,1555.353,3600.0,,,饮用水,14.0,12.0,0.0
S010-MED-01,F14,S010,2956.225,1085.225,3600.0,3600.0,643.775,医疗物资,3.0,24.0,0.0
S010-WAT-01,F14,S010,2956.225,1085.225,3600.0,3600.0,643.775,饮用水,14.0,12.0,0.0
S010-FOD-01,F14,S010,2956.225,1085.225,7200.0,,,应急食品,8.0,10.0,0.0
