sortie_id,battery_id,type_id,assign_s,return_s,return_soc_pct,recharge_s,charge_end_s
F01,BA01,A,0.0,1266.57,71.358,872.349,2138.918
F02,BA02,A,0.0,1266.57,71.358,872.349,2138.918
F03,BA03,A,0.0,1738.156,56.102,1070.68,2808.836
F04,BA04,A,1.0,1267.57,71.358,872.349,2139.918
F05,BB01,B,1.0,1511.47,54.381,1457.393,2968.864
F06,BB02,B,1.0,1870.752,46.491,1594.163,3464.916
F07,BC01,C,1.0,1646.4,64.315,1606.51,3252.909
F08,BC02,C,1.0,1566.731,67.503,1537.436,3104.168
F09,BA05,A,1267.0,3214.058,36.161,1329.906,4543.964
F10,BA06,A,1267.0,3005.156,57.562,1051.695,4056.851
F11,BB03,B,1512.0,3454.959,30.988,1862.878,5317.837
F12,BC03,C,1567.0,4028.49,22.293,2516.993,6545.483
F13,BC04,C,1647.0,3824.887,21.468,2534.869,6359.756
F14,BB04,B,1871.0,3426.377,54.42,1456.715,4883.092
F15,BA01,A,2139.0,3345.57,72.761,854.107,4199.677
F16,BA02,A,2139.0,3817.156,59.779,1022.879,4840.035
F17,BA04,A,3006.0,5289.333,33.939,1358.788,6648.121
F18,BA03,A,3215.0,5326.404,30.076,1409.018,6735.422
F19,BB01,B,3427.0,4985.442,47.594,1575.035,6560.477
F20,BB02,B,3465.0,5302.491,42.221,1668.172,6970.663
F21,BC02,C,3825.0,6533.576,20.976,2545.524,9079.1
F22,BC01,C,4030.0,6345.411,23.013,2501.384,8846.795
F23,BB04,B,4986.0,6502.175,47.846,1570.665,8072.84
F24,BB03,B,5318.0,6506.424,73.151,1132.049,7638.473
