sortie_id,aircraft_id,type_id,event,start_s,end_s,duration_s
F01,U01,A,准备-装载-飞行-交接-返场,0.0,1266.57,1266.57
F02,U02,A,准备-装载-飞行-交接-返场,0.0,1266.57,1266.57
F03,U03,A,准备-装载-飞行-交接-返场,0.0,1738.156,1738.156
F04,U04,A,准备-装载-飞行-交接-返场,1.0,1267.57,1266.57
F05,U05,B,准备-装载-飞行-交接-返场,1.0,1511.47,1510.47
F06,U06,B,准备-装载-飞行-交接-返场,1.0,1870.752,1869.752
F07,U07,C,准备-装载-飞行-交接-返场,1.0,1646.4,1645.4
F08,U08,C,准备-装载-飞行-交接-返场,1.0,1566.731,1565.731
F09,U01,A,准备-装载-飞行-交接-返场,1267.0,3214.058,1947.058
F10,U02,A,准备-装载-飞行-交接-返场,1267.0,3005.156,1738.156
F11,U05,B,准备-装载-飞行-交接-返场,1512.0,3454.959,1942.959
F12,U08,C,准备-装载-飞行-交接-返场,1567.0,4028.49,2461.49
F13,U07,C,准备-装载-飞行-交接-返场,1647.0,3824.887,2177.887
F14,U06,B,准备-装载-飞行-交接-返场,1871.0,3426.377,1555.377
F15,U04,A,准备-装载-飞行-交接-返场,2139.0,3345.57,1206.57
F16,U03,A,准备-装载-飞行-交接-返场,2139.0,3817.156,1678.156
F17,U02,A,准备-装载-飞行-交接-返场,3006.0,5289.333,2283.333
F18,U01,A,准备-装载-飞行-交接-返场,3215.0,5326.404,2111.404
F19,U06,B,准备-装载-飞行-交接-返场,3427.0,4985.442,1558.442
F20,U05,B,准备-装载-飞行-交接-返场,3465.0,5302.491,1837.491
F21,U07,C,准备-装载-飞行-交接-返场,3825.0,6533.576,2708.576
F22,U08,C,准备-装载-飞行-交接-返场,4030.0,6345.411,2315.411
F23,U06,B,准备-装载-飞行-交接-返场,4986.0,6502.175,1516.175
F24,U05,B,准备-装载-飞行-交接-返场,5318.0,6506.424,1188.424
